"","index","week_no","year","date","counts","mort_avg","variance_from_avg"
"38",38,38,"2010","2010-09-24",8943,8652.4,1.03358605704776
"39",39,39,"2010","2010-10-01",8759,8827,0.992296363430384
"40",40,40,"2010","2010-10-08",9195,8894.6,1.03377330065433
"41",41,41,"2010","2010-10-15",9218,9124.6,1.01023606514258
"42",42,42,"2010","2010-10-22",9286,9192,1.01022628372498
"43",43,43,"2010","2010-10-29",9275,9327.6,0.994360821647583
"44",44,44,"2010","2010-11-05",9668,9420.2,1.02630517398781
"45",45,45,"2010","2010-11-12",9406,9547.8,0.985148411152307
"46",46,46,"2010","2010-11-19",9437,9671.2,0.975783770369758
"47",47,47,"2010","2010-11-26",9473,9856,0.961140422077922
"48",48,48,"2010","2010-12-03",9220,9898.4,0.931463670896307
"49",49,49,"2010","2010-12-10",11193,10175.2,1.10002751788663
"50",50,50,"2010","2010-12-17",10880,10453.6,1.04078977577103
"90",1806,38,"2011","2011-09-23",8527,8707,0.979326978293327
"91",1807,39,"2011","2011-09-30",8919,8829.4,1.01014791492061
"92",1808,40,"2011","2011-10-07",8719,8908.2,0.978761141420264
"93",1809,41,"2011","2011-10-14",8705,9120,0.954495614035088
"94",1810,42,"2011","2011-10-21",8638,9240.2,0.934828250470769
"95",1811,43,"2011","2011-10-28",9139,9327.4,0.979801445204451
"96",1812,44,"2011","2011-11-04",9640,9501,1.01463003894327
"97",1813,45,"2011","2011-11-11",9042,9580.2,0.94382163211624
"98",1814,46,"2011","2011-11-18",9305,9654.2,0.963829214228004
"99",1815,47,"2011","2011-11-25",9166,9787.6,0.936491070333892
"100",1816,48,"2011","2011-12-02",9203,9677.4,0.950978568623804
"101",1817,49,"2011","2011-12-09",9828,10328.2,0.95156948935923
"102",1818,50,"2011","2011-12-16",10348,10500.8,0.985448727715984
"142",3575,38,"2012","2012-09-21",8839,8687.8,1.01740371555515
"143",3576,39,"2012","2012-09-28",8865,8864.4,1.00006768647624
"144",3577,40,"2012","2012-10-05",9070,8954.6,1.01288723114377
"145",3578,41,"2012","2012-10-12",9441,9030.4,1.04546863926293
"146",3579,42,"2012","2012-10-19",9284,9146.2,1.0150663663598
"147",3580,43,"2012","2012-10-26",9550,9311,1.02566856406401
"148",3581,44,"2012","2012-11-02",9335,9540.2,0.978491016959812
"149",3582,45,"2012","2012-11-09",9683,9478.6,1.02156436604562
"150",3583,46,"2012","2012-11-16",9900,9551.4,1.0364972674163
"151",3584,47,"2012","2012-11-23",9679,9640.2,1.00402481276322
"152",3585,48,"2012","2012-11-30",9394,9579.6,0.980625495845338
"153",3586,49,"2012","2012-12-07",9844,10335.8,0.952417809942143
"154",3587,50,"2012","2012-12-14",10388,10587.4,0.981166292007481
"194",5343,38,"2013","2013-09-20",8635,8674.4,0.995457899105414
"195",5344,39,"2013","2013-09-27",9155,8866.2,1.03257314294737
"196",5345,40,"2013","2013-10-04",9191,8961.8,1.02557521926399
"197",5346,41,"2013","2013-10-11",8939,9127,0.979401774953435
"198",5347,42,"2013","2013-10-18",9237,9165.4,1.00781198856569
"199",5348,43,"2013","2013-10-25",9236,9331.6,0.989755240258905
"200",5349,44,"2013","2013-11-01",9107,9474,0.961262402364366
"201",5350,45,"2013","2013-11-08",9449,9511.6,0.99341856259725
"202",5351,46,"2013","2013-11-15",9583,9591.2,0.999145049628826
"203",5352,47,"2013","2013-11-22",9587,9542.8,1.00463176426206
"204",5353,48,"2013","2013-11-29",9636,9434.2,1.02139026096542
"205",5354,49,"2013","2013-12-06",9908,10195.8,0.971772690715785
"206",5355,50,"2013","2013-12-13",10033,10584.4,0.947904463172216
"246",7111,38,"2014","2014-09-19",9107,8663,1.05125245296087
"247",7112,39,"2014","2014-09-26",9048,8911.2,1.01535146781578
"248",7113,40,"2014","2014-10-03",9271,8976,1.03286541889483
"249",7114,41,"2014","2014-10-10",9173,9056.2,1.01289724166869
"250",7115,42,"2014","2014-10-17",9464,9136.4,1.03585657370518
"251",7116,43,"2014","2014-10-24",9603,9321,1.03025426456389
"252",7117,44,"2014","2014-10-31",9586,9439.2,1.01555216543775
"253",7118,45,"2014","2014-11-07",9753,9414.4,1.03596617946975
"254",7119,46,"2014","2014-11-14",10036,9535.6,1.05247703343261
"255",7120,47,"2014","2014-11-21",9472,9492.4,0.997850912308794
"256",7121,48,"2014","2014-11-28",9928,9398.8,1.05630506022045
"257",7122,49,"2014","2014-12-05",10267,10111.8,1.01534840483396
"258",7123,50,"2014","2014-12-12",10550,10323.6,1.02193033437948
"298",8931,38,"2015","2015-09-18",9097,8807.6,1.03285798628457
"299",8932,39,"2015","2015-09-25",9529,8954.6,1.06414580215755
"300",8933,40,"2015","2015-10-02",9410,9091.4,1.03504410761819
"301",8934,41,"2015","2015-10-09",9776,9098.2,1.07449825240157
"302",8935,42,"2015","2015-10-16",9511,9181,1.03594379697201
"303",8936,43,"2015","2015-10-23",9711,9357.6,1.03776609387022
"304",8937,44,"2015","2015-10-30",9618,9468.4,1.01579992395759
"305",8938,45,"2015","2015-11-06",9994,9466.8,1.05568935648794
"306",8939,46,"2015","2015-11-13",9938,9650.8,1.0297591909479
