"","index","week_no","year","date","counts","mort_avg","variance_from_avg"
"12",12,12,"2010","2010-03-26",9631,9646.8,0.998362151179666
"13",13,13,"2010","2010-04-02",8004,10315,0.775957343674261
"14",14,14,"2010","2010-04-09",9756,10013.8,0.974255527372226
"15",15,15,"2010","2010-04-16",9892,9696,1.02021452145215
"16",16,16,"2010","2010-04-23",9449,10259.8,0.920973118384374
"17",17,17,"2010","2010-04-30",9503,10025,0.947930174563591
"18",18,18,"2010","2010-05-07",8343,9378.8,0.889559431910266
"19",19,19,"2010","2010-05-14",9483,9090,1.04323432343234
"20",20,20,"2010","2010-05-21",9190,9474.8,0.969941318022544
"21",21,21,"2010","2010-05-28",9452,9384.2,1.00722490995503
"22",22,22,"2010","2010-06-04",8178,8464.6,0.966141341587317
"23",23,23,"2010","2010-06-11",9259,9332.4,0.992134927778492
"24",24,24,"2010","2010-06-18",8513,9072.8,0.938299091790847
"64",1780,12,"2011","2011-03-25",9707,9661.8,1.0046782173094
"65",1781,13,"2011","2011-04-01",9312,9714.4,0.958576957918142
"66",1782,14,"2011","2011-04-08",9557,9822.4,0.972980127056524
"67",1783,15,"2011","2011-04-15",9327,9639.8,0.967551194008174
"68",1784,16,"2011","2011-04-22",8335,10122.4,0.823421323006402
"69",1785,17,"2011","2011-04-29",8064,9918.8,0.8130015727709
"70",1786,18,"2011","2011-05-06",9853,9221.2,1.06851602828265
"71",1787,19,"2011","2011-05-13",10140,9016.8,1.12456747404844
"72",1788,20,"2011","2011-05-20",8949,9373.4,0.954722939381655
"73",1789,21,"2011","2011-05-27",9163,9309.4,0.984273959653683
"74",1790,22,"2011","2011-06-03",7913,8339.4,0.948869223205506
"75",1791,23,"2011","2011-06-10",9254,9322,0.992705428019738
"76",1792,24,"2011","2011-06-17",8961,8984.8,0.997351081827086
"116",3549,12,"2012","2012-03-23",9864,9459.2,1.04279431664411
"117",3550,13,"2012","2012-03-30",9634,9392.4,1.02572292491802
"118",3551,14,"2012","2012-04-06",8520,9643,0.88354246603754
"119",3552,15,"2012","2012-04-13",9992,9693.6,1.03078319716101
"120",3553,16,"2012","2012-04-20",10816,9643.6,1.12157285660956
"121",3554,17,"2012","2012-04-27",10238,9454,1.08292786122276
"122",3555,18,"2012","2012-05-04",9957,9375,1.06208
"123",3556,19,"2012","2012-05-11",8868,9085,0.976114474408365
"124",3557,20,"2012","2012-05-18",9913,9271.8,1.06915593520136
"125",3558,21,"2012","2012-05-25",9602,9275,1.03525606469003
"126",3559,22,"2012","2012-06-01",9602,8223.2,1.16767195252456
"127",3560,23,"2012","2012-06-08",6781,9240.2,0.73385857448973
"128",3561,24,"2012","2012-06-15",10170,8878.4,1.1454766624617
"168",5317,12,"2013","2013-03-22",11075,9432.6,1.17411954286199
"169",5318,13,"2013","2013-03-29",9280,9348.6,0.992662002866739
"170",5319,14,"2013","2013-04-05",10890,9667.6,1.1264429641276
"171",5320,15,"2013","2013-04-12",12147,9620.2,1.26265566204445
"172",5321,16,"2013","2013-04-19",11752,9707.8,1.21057294134613
"173",5322,17,"2013","2013-04-26",10625,9515,1.11665790856542
"174",5323,18,"2013","2013-05-03",10169,9479.2,1.07276985399612
"175",5324,19,"2013","2013-05-10",8814,9096,0.968997361477573
"176",5325,20,"2013","2013-05-17",9847,9345,1.05371856607812
"177",5326,21,"2013","2013-05-24",9530,9311.2,1.02349858235244
"178",5327,22,"2013","2013-05-31",8333,8460.2,0.98496489444694
"179",5328,23,"2013","2013-06-07",9482,8723.6,1.0869365858132
"180",5329,24,"2013","2013-06-14",8869,9060.4,0.978875104851883
"220",7085,12,"2014","2014-03-21",9832,9905.8,0.992549819297785
"221",7086,13,"2014","2014-03-28",9622,9121,1.05492818769872
"222",7087,14,"2014","2014-04-04",9944,9639.4,1.03159947714588
"223",7088,15,"2014","2014-04-11",9504,9940.6,0.956079109912882
"224",7089,16,"2014","2014-04-18",8000,9999.8,0.800016000320006
"225",7090,17,"2014","2014-04-25",9359,9610.4,0.973840839090985
"226",7091,18,"2014","2014-05-02",10527,9519.8,1.10580054202819
"227",7092,19,"2014","2014-05-09",8613,9122.6,0.944138732378927
"228",7093,20,"2014","2014-05-16",9513,9395,1.01255987227249
"229",7094,21,"2014","2014-05-23",9313,9367.2,0.994213852592023
"230",7095,22,"2014","2014-05-30",8034,8472.6,0.948233127965441
"231",7096,23,"2014","2014-06-06",9557,8762.4,1.09068291792203
"232",7097,24,"2014","2014-06-13",9414,9046,1.04068096396197
"272",8905,12,"2015","2015-03-20",10568,10020.6,1.05462746741712
"273",8906,13,"2015","2015-03-27",10493,9169.4,1.14434968482125
"274",8907,14,"2015","2015-04-03",9062,9734,0.930963632627902
"275",8908,15,"2015","2015-04-10",10089,10172.6,0.991781845349271
"276",8909,16,"2015","2015-04-17",11639,9666.2,1.20409261136745
"277",8910,17,"2015","2015-04-24",10599,9557.6,1.10896040847075
"278",8911,18,"2015","2015-05-01",10134,9771,1.03715075222597
"279",8912,19,"2015","2015-05-08",8862,9182.8,0.965065121749358
"280",8913,20,"2015","2015-05-15",10290,9479.4,1.08551174124945
"281",8914,21,"2015","2015-05-22",10005,9414.4,1.06273368456832
"282",8915,22,"2015","2015-05-29",8213,8410.4,0.976529059259964
"283",8916,23,"2015","2015-06-05",10157,8867.4,1.1454315808467
"284",8917,24,"2015","2015-06-12",9548,9181.8,1.03988324729356
"325",10707,12,"2016","2016-03-25",9635,10209.4,0.943738123689933
"326",10708,13,"2016","2016-04-01",10286,9668,1.06392221762516
"327",10709,14,"2016","2016-04-08",11599,9592.4,1.20918643926442
"328",10710,15,"2016","2016-04-15",11417,10206.2,1.11863377162901
"329",10711,16,"2016","2016-04-22",10925,10104.8,1.08116934526166
"330",10712,17,"2016","2016-04-29",10413,9776.6,1.06509420452918
"331",10713,18,"2016","2016-05-06",9137,10127.8,0.902170264025751
"332",10714,19,"2016","2016-05-13",10637,9058.4,1.17426918661132
"333",10715,20,"2016","2016-05-20",9953,9699.2,1.02616710656549
"334",10716,21,"2016","2016-05-27",9739,9524,1.02257454850903
"335",10717,22,"2016","2016-06-03",7909,8417.2,0.939623627809723
"336",10718,23,"2016","2016-06-10",9873,9047.2,1.09127685913874
"337",10719,24,"2016","2016-06-17",9386,9388.4,0.999744365387073
"377",12475,12,"2017","2017-03-24",10325,10193,1.01295006376925
"378",12476,13,"2017","2017-03-31",10027,9863,1.01662780087195
"379",12477,14,"2017","2017-04-07",9939,10001,0.993800619938006
"380",12478,15,"2017","2017-04-14",8493,10624,0.799416415662651
"381",12479,16,"2017","2017-04-21",9644,10625,0.907670588235294
"382",12480,17,"2017","2017-04-28",10908,10246,1.06461057973843
"383",12481,18,"2017","2017-05-05",9064,9984,0.907852564102564
"384",12482,19,"2017","2017-05-12",10693,9158,1.16761301594235
"385",12483,20,"2017","2017-05-19",10288,9902,1.03898202383357
"386",12484,21,"2017","2017-05-26",10040,9640,1.04149377593361
