"","index","week_no","year","date","counts","mort_avg","variance_from_avg"
"25",25,25,"2010","2010-06-25",8461,9013.8,0.93867181432914
"26",26,26,"2010","2010-07-02",8973,8791.6,1.02063333181673
"27",27,27,"2010","2010-07-09",8627,8914,0.96780345523895
"28",28,28,"2010","2010-07-16",8541,8745.2,0.976650048026346
"29",29,29,"2010","2010-07-23",8261,8762.8,0.942735198794906
"30",30,30,"2010","2010-07-30",8257,8846.2,0.933395130112365
"31",31,31,"2010","2010-08-06",8467,8669.4,0.976653516967726
"32",32,32,"2010","2010-08-13",8318,8611.4,0.96592888496644
"33",33,33,"2010","2010-08-20",8584,8651.4,0.99220935339945
"34",34,34,"2010","2010-08-27",8635,8683.8,0.994380340403971
"35",35,35,"2010","2010-09-03",7708,8100.8,0.951510961880308
"36",36,36,"2010","2010-09-10",8961,8596.4,1.04241310315946
"37",37,37,"2010","2010-09-17",8727,8654,1.00843540559279
"77",1793,25,"2011","2011-06-24",8715,8812.8,0.988902505446623
"78",1794,26,"2011","2011-07-01",8710,8757.8,0.994542008266916
"79",1795,27,"2011","2011-07-08",8705,8883.8,0.979873477565907
"80",1796,28,"2011","2011-07-15",8461,8629.6,0.980462593862983
"81",1797,29,"2011","2011-07-22",8500,8643,0.983454818928613
"82",1798,30,"2011","2011-07-29",8456,8737.4,0.967793622816856
"83",1799,31,"2011","2011-08-05",8787,8619.2,1.01946816409876
"84",1800,32,"2011","2011-08-12",8573,8549.8,1.0027135137664
"85",1801,33,"2011","2011-08-19",8426,8588.2,0.981113621014881
"86",1802,34,"2011","2011-08-26",8466,8642.8,0.979543666404406
"87",1803,35,"2011","2011-09-02",7717,7984.6,0.966485484557774
"88",1804,36,"2011","2011-09-09",8769,8619.4,1.01735619648699
"89",1805,37,"2011","2011-09-16",8612,8671.2,0.993172801918996
"129",3562,25,"2012","2012-06-22",9054,8750.4,1.03469555677455
"130",3563,26,"2012","2012-06-29",8856,8718.2,1.0158060150031
"131",3564,27,"2012","2012-07-06",8909,8764,1.0165449566408
"132",3565,28,"2012","2012-07-13",8754,8577,1.02063658621896
"133",3566,29,"2012","2012-07-20",8684,8489.2,1.02294680299675
"134",3567,30,"2012","2012-07-27",8877,8549.4,1.03831847848972
"135",3568,31,"2012","2012-08-03",8942,8594,1.04049336746567
"136",3569,32,"2012","2012-08-10",8810,8546.8,1.03079515140169
"137",3570,33,"2012","2012-08-17",8776,8552.2,1.0261687051285
"138",3571,34,"2012","2012-08-24",8977,8577,1.04663635303719
"139",3572,35,"2012","2012-08-31",7617,7901,0.964055182888242
"140",3573,36,"2012","2012-09-07",8848,8593.2,1.029651352232
"141",3574,37,"2012","2012-09-14",8641,8669.8,0.996678124062839
"181",5330,25,"2013","2013-06-21",8904,8770.2,1.01525620852432
"182",5331,26,"2013","2013-06-28",8589,8759.4,0.980546612781697
"183",5332,27,"2013","2013-07-05",8790,8749.2,1.00466328350021
"184",5333,28,"2013","2013-07-12",8533,8546,0.998478820500819
"185",5334,29,"2013","2013-07-19",8790,8453.8,1.03976909792046
"186",5335,30,"2013","2013-07-26",8476,8542.8,0.992180549702674
"187",5336,31,"2013","2013-08-02",8159,8644.4,0.943848040349822
"188",5337,32,"2013","2013-08-09",8280,8533,0.970350404312669
"189",5338,33,"2013","2013-08-16",8231,8565.2,0.960981646663242
"190",5339,34,"2013","2013-08-23",8579,8620.4,0.995197438633938
"191",5340,35,"2013","2013-08-30",7688,7809.2,0.984479844286226
"192",5341,36,"2013","2013-09-06",8905,8612.6,1.03395025892297
"193",5342,37,"2013","2013-09-13",8347,8661.6,0.963678766047843
"233",7098,25,"2014","2014-06-20",8946,8771.6,1.01988234757627
"234",7099,26,"2014","2014-06-27",8931,8711.6,1.02518481105652
"235",7100,27,"2014","2014-07-04",8763,8742.4,1.00235633235725
"236",7101,28,"2014","2014-07-11",8784,8513,1.03183366615764
"237",7102,29,"2014","2014-07-18",9119,8510,1.07156286721504
"238",7103,30,"2014","2014-07-25",8965,8490.8,1.05584868328073
"239",7104,31,"2014","2014-08-01",8916,8521.4,1.04630694486821
"240",7105,32,"2014","2014-08-08",8755,8481.8,1.03221014407319
"241",7106,33,"2014","2014-08-15",8792,8512.6,1.03282193454409
"242",7107,34,"2014","2014-08-22",8769,8605,1.01905868680999
"243",7108,35,"2014","2014-08-29",8027,7795.4,1.02970982887344
"244",7109,36,"2014","2014-09-05",9671,8628.4,1.1208335264939
"245",7110,37,"2014","2014-09-12",9284,8603,1.07915843310473
"285",8918,25,"2015","2015-06-19",9312,8815.4,1.05633323502053
"286",8919,26,"2015","2015-06-26",9190,8811.8,1.04291972128283
"287",8920,27,"2015","2015-07-03",9205,8758,1.05103905001142
"288",8921,28,"2015","2015-07-10",9015,8610.6,1.04696536826702
"289",8922,29,"2015","2015-07-17",8802,8667.6,1.01550602242835
"290",8923,30,"2015","2015-07-24",8791,8606,1.02149663025796
"291",8924,31,"2015","2015-07-31",8617,8652.2,0.995931670557777
"292",8925,32,"2015","2015-08-07",8862,8543,1.03734051270046
"293",8926,33,"2015","2015-08-14",9148,8560.2,1.06866661993879
"294",8927,34,"2015","2015-08-21",9121,8689,1.04971803429624
"295",8928,35,"2015","2015-08-28",9026,7755.4,1.16383423163215
"296",8929,36,"2015","2015-09-04",7878,9031.4,0.872290010408132
"297",8930,37,"2015","2015-09-11",9258,8719.8,1.06172159911925
"338",10720,25,"2016","2016-06-24",9365,8986,1.0421767193412
"339",10721,26,"2016","2016-07-01",9228,8852,1.04247627654767
"340",10722,27,"2016","2016-07-08",9138,8872.2,1.02995874754852
"341",10723,28,"2016","2016-07-15",9388,8706.8,1.07823769926954
"342",10724,29,"2016","2016-07-22",9350,8776.2,1.06538137234794
"343",10725,30,"2016","2016-07-29",9335,8712.2,1.07148596221391
"344",10726,31,"2016","2016-08-05",9182,8682.6,1.05751733351761
"345",10727,32,"2016","2016-08-12",9172,8651.4,1.0601752317544
"346",10728,33,"2016","2016-08-19",9070,8671.8,1.04591895569547
"347",10729,34,"2016","2016-08-26",9319,8783.4,1.06097866429856
"348",10730,35,"2016","2016-09-02",7923,8020,0.987905236907731
"349",10731,36,"2016","2016-09-09",9399,8813.2,1.06646847909953
"350",10732,37,"2016","2016-09-16",9124,8825.8,1.03378730540008
"390",12488,25,"2017","2017-06-23",9627,9117,1.05593945376769
"391",12489,26,"2017","2017-06-30",9334,8956,1.04220634211702
"392",12490,27,"2017","2017-07-07",9263,8959,1.03393235852216
"393",12491,28,"2017","2017-07-14",9376,8893,1.05431238052401
"394",12492,29,"2017","2017-07-21",9113,8946,1.01866756092108
"395",12493,30,"2017","2017-07-28",8882,8889,0.999212509843627
"396",12494,31,"2017","2017-08-04",8941,8762,1.02042912577037
"397",12495,32,"2017","2017-08-11",9038,8772,1.03032375740994
"398",12496,33,"2017","2017-08-18",9299,8802,1.05646443990002
"399",12497,34,"2017","2017-08-25",9382,8953,1.04791689936334
"400",12498,35,"2017","2017-09-01",8149,8062,1.01079136690647
"401",12499,36,"2017","2017-09-08",9497,8940,1.06230425055928
"402",12500,37,"2017","2017-09-15",9454,8929,1.05879717773547
"442",14256,25,"2018","2018-06-22",9256,9232,1.00259965337955
"443",14257,26,"2018","2018-06-29",9212,9052,1.01767565178966
"444",14258,27,"2018","2018-07-06",9258,9030,1.02524916943522
"445",14259,28,"2018","2018-07-13",9293,9018,1.03049456642271
"446",14260,29,"2018","2018-07-20",9127,9032,1.01051815766165
"447",14261,30,"2018","2018-07-27",9141,8890,1.02823397075366
"448",14262,31,"2018","2018-08-03",9161,8763,1.04541823576401
"449",14263,32,"2018","2018-08-10",9319,8818,1.05681560444545
"450",14264,33,"2018","2018-08-17",8830,8905,0.991577765300393
"451",14265,34,"2018","2018-08-24",8978,9033,0.993911214435957
"452",14266,35,"2018","2018-08-31",7865,8162,0.963611859838275
"453",14267,36,"2018","2018-09-07",9445,9069,1.04145991840335
"454",14268,37,"2018","2018-09-14",9191,9091,1.0109998900011
"494",16024,25,"2019","2019-06-21",9458,9302,1.01677058697054
"495",16025,26,"2019","2019-06-28",9511,9177,1.0363953361665
"496",16026,27,"2019","2019-07-05",9062,9123,0.993313602981475
"497",16027,28,"2019","2019-07-12",9179,9170,1.0009814612868
"498",16028,29,"2019","2019-07-19",9080,9100,0.997802197802198
"499",16029,30,"2019","2019-07-26",9112,9023,1.00986368170232
"500",16030,31,"2019","2019-08-02",9271,8963,1.03436349436573
"501",16031,32,"2019","2019-08-09",9122,9026,1.010635940616
"502",16032,33,"2019","2019-08-16",9093,9025,1.00753462603878
"503",16033,34,"2019","2019-08-23",8994,9113,0.986941731592231
"504",16034,35,"2019","2019-08-30",8242,8197,1.00548981334635
"505",16035,36,"2019","2019-09-06",9695,9177,1.05644546147979
"506",16036,37,"2019","2019-09-13",9513,9260,1.02732181425486
