"","index","week_no","year","date","counts","mort_avg","variance_from_avg"
"51",51,51,"2010","2010-12-24",11484,10925,1.05116704805492
"52",52,52,"2010","2010-12-31",9689,8825,1.09790368271955
"53",1769,1,"2011","2011-01-07",12644,12166.2,1.03927273922835
"54",1770,2,"2011","2011-01-14",13133,12540,1.04728867623604
"55",1771,3,"2011","2011-01-21",11438,11711,0.976688583383144
"56",1772,4,"2011","2011-01-28",10555,11031.8,0.956779492013996
"57",1773,5,"2011","2011-02-04",10235,10674.8,0.958800164874283
"58",1774,6,"2011","2011-02-11",10019,10442.2,0.959472141885809
"59",1775,7,"2011","2011-02-18",9757,10586.6,0.921636786125857
"60",1776,8,"2011","2011-02-25",9433,10558.4,0.893411880587968
"61",1777,9,"2011","2011-03-04",9453,10483.4,0.901711276875823
"62",1778,10,"2011","2011-03-11",9648,10232.4,0.942887299167351
"63",1779,11,"2011","2011-03-18",9842,10084.2,0.975982229626544
"103",1819,51,"2011","2011-12-23",11151,10994,1.01428051664544
"104",1820,52,"2011","2011-12-30",8472,8938.8,0.947778225265136
"105",3538,1,"2012","2012-01-06",10514,12455,0.844158972300281
"106",3539,2,"2012","2012-01-13",11343,12851.4,0.882627573649563
"107",3540,3,"2012","2012-01-20",10393,11812.8,0.879808343491806
"108",3541,4,"2012","2012-01-27",10320,11053.6,0.933632481725411
"109",3542,5,"2012","2012-02-03",10117,10614.6,0.953121172724361
"110",3543,6,"2012","2012-02-10",10287,10316.6,0.99713083767908
"111",3544,7,"2012","2012-02-17",10532,10402.2,1.01247812962643
"112",3545,8,"2012","2012-02-24",11086,10326.8,1.07351744974242
"113",3546,9,"2012","2012-03-02",10945,10157.8,1.07749709582784
"114",3547,10,"2012","2012-03-09",10507,9962.4,1.05466554243957
"115",3548,11,"2012","2012-03-16",10041,9908.6,1.01336212986698
"155",3588,51,"2012","2012-12-21",11461,11179,1.0252258699347
"156",3589,52,"2012","2012-12-28",8096,8938.8,0.905714413567817
"157",5306,1,"2013","2013-01-04",11620,12378.8,0.938701651210133
"158",5307,2,"2013","2013-01-11",12541,12881.4,0.973574300930023
"159",5308,3,"2013","2013-01-18",11075,11734.8,0.943774073695334
"160",5309,4,"2013","2013-01-25",11262,11028.2,1.02120019586152
"161",5310,5,"2013","2013-02-01",11314,10481.4,1.07943595321236
"162",5311,6,"2013","2013-02-08",11044,10217.4,1.08090120774365
"163",5312,7,"2013","2013-02-15",11030,10210.8,1.08022877737298
"164",5313,8,"2013","2013-02-22",10850,10272.4,1.05622834001791
