index,week_no,year,date,counts,mort_avg,variance_from_avg,consent
1798,30,2011,2011-07-29,0,8737.4,0.967794,True
1803,35,2011,2011-09-02,7717,7984.6,0.966485,True
5324,19,2013,2013-05-10,8814,9096.0,0.968997,True
5326,21,2013,2013-05-24,9530,9311.2,1.023499,True
7121,48,2014,2014-11-28,9928,9398.8,1.056305,True
10722,27,2016,2016-07-08,9138,8872.2,1.029959,True
10742,47,2016,2016-11-25,10603,9572.0,1.10771,True
12473,10,2017,2017-03-10,11077,10816.0,1.024131,True
14259,28,2018,2018-07-13,9293,9018.0,1.030495,True
16021,22,2019,2019-05-31,8260,8125.0,1.016615,True
16029,30,2019,2019-07-26,9112,9023.0,1.009864,True
