index,week_no,year,date,counts,mort_avg,variance_from_avg
1,1,2010,2010-01-08,12968,12050,1.0761825726141079
2,2,2010,2010-01-15,12541,12600,0.9953174603174603
3,3,2010,2010-01-22,11762,11692.2,1.0059697918270298
4,4,2010,2010-01-29,11056,11069.2,0.9988075018971561
5,5,2010,2010-02-05,10524,10840.4,0.9708128851333899
6,6,2010,2010-02-12,10117,10602.4,0.9542179129253754
7,7,2010,2010-02-19,10102,10774.8,0.9375580057170435
8,8,2010,2010-02-26,10295,10715.2,0.9607846797073316
9,9,2010,2010-03-05,9981,10793.8,0.9246975115343994
10,10,2010,2010-03-12,9792,10572.8,0.9261501210653754
11,11,2010,2010-03-19,9729,10432.2,0.9325933168459193
12,12,2010,2010-03-26,9631,9646.8,0.9983621511796659
13,13,2010,2010-04-02,8004,10315,0.7759573436742608
14,14,2010,2010-04-09,9756,10013.8,0.9742555273722264
15,15,2010,2010-04-16,9892,9696,1.0202145214521452
16,16,2010,2010-04-23,9449,10259.8,0.920973118384374
17,17,2010,2010-04-30,9503,10025,0.9479301745635911
18,18,2010,2010-05-07,8343,9378.8,0.8895594319102658
19,19,2010,2010-05-14,9483,9090,1.0432343234323431
20,20,2010,2010-05-21,9190,9474.8,0.9699413180225441
21,21,2010,2010-05-28,9452,9384.2,1.0072249099550308
22,22,2010,2010-06-04,8178,8464.6,0.9661413415873166
23,23,2010,2010-06-11,9259,9332.4,0.9921349277784922
24,24,2010,2010-06-18,8513,9072.8,0.9382990917908475
25,25,2010,2010-06-25,8461,9013.8,0.9386718143291398
26,26,2010,2010-07-02,8973,8791.6,1.0206333318167342
27,27,2010,2010-07-09,8627,8914,0.96780345523895
28,28,2010,2010-07-16,8541,8745.2,0.9766500480263458
29,29,2010,2010-07-23,8261,8762.8,0.9427351987949059
30,30,2010,2010-07-30,8257,8846.2,0.9333951301123645
31,31,2010,2010-08-06,8467,8669.4,0.9766535169677256
32,32,2010,2010-08-13,8318,8611.4,0.9659288849664399
33,33,2010,2010-08-20,8584,8651.4,0.9922093533994498
34,34,2010,2010-08-27,8635,8683.8,0.9943803404039707
35,35,2010,2010-09-03,7708,8100.8,0.9515109618803081
36,36,2010,2010-09-10,8961,8596.4,1.0424131031594621
37,37,2010,2010-09-17,8727,8654,1.0084354055927895
38,38,2010,2010-09-24,8943,8652.4,1.0335860570477555
39,39,2010,2010-10-01,8759,8827,0.9922963634303841
40,40,2010,2010-10-08,9195,8894.6,1.0337733006543295
41,41,2010,2010-10-15,9218,9124.6,1.0102360651425815
42,42,2010,2010-10-22,9286,9192,1.0102262837249782
43,43,2010,2010-10-29,9275,9327.6,0.9943608216475834
44,44,2010,2010-11-05,9668,9420.2,1.0263051739878133
45,45,2010,2010-11-12,9406,9547.8,0.9851484111523074
46,46,2010,2010-11-19,9437,9671.2,0.9757837703697576
47,47,2010,2010-11-26,9473,9856,0.961140422077922
48,48,2010,2010-12-03,9220,9898.4,0.9314636708963066
49,49,2010,2010-12-10,11193,10175.2,1.1000275178866263
50,50,2010,2010-12-17,10880,10453.6,1.0407897757710263
51,51,2010,2010-12-24,11484,10925,1.05116704805492
52,52,2010,2010-12-31,9689,8825,1.0979036827195467
1769,1,2011,2011-01-07,12644,12166.2,1.0392727392283538
1770,2,2011,2011-01-14,13133,12540,1.0472886762360447
1771,3,2011,2011-01-21,11438,11711,0.976688583383144
1772,4,2011,2011-01-28,10555,11031.8,0.9567794920139959
1773,5,2011,2011-02-04,10235,10674.8,0.9588001648742834
1774,6,2011,2011-02-11,10019,10442.2,0.9594721418858094
1775,7,2011,2011-02-18,9757,10586.6,0.9216367861258572
1776,8,2011,2011-02-25,9433,10558.4,0.8934118805879679
1777,9,2011,2011-03-04,9453,10483.4,0.9017112768758228
1778,10,2011,2011-03-11,9648,10232.4,0.9428872991673508
1779,11,2011,2011-03-18,9842,10084.2,0.9759822296265445
1780,12,2011,2011-03-25,9707,9661.8,1.0046782173094042
1781,13,2011,2011-04-01,9312,9714.4,0.9585769579181421
1782,14,2011,2011-04-08,9557,9822.4,0.9729801270565239
1783,15,2011,2011-04-15,9327,9639.8,0.9675511940081745
1784,16,2011,2011-04-22,8335,10122.4,0.8234213230064017
1785,17,2011,2011-04-29,8064,9918.8,0.8130015727708998
1786,18,2011,2011-05-06,9853,9221.2,1.068516028282653
1787,19,2011,2011-05-13,10140,9016.8,1.124567474048443
1788,20,2011,2011-05-20,8949,9373.4,0.9547229393816545
1789,21,2011,2011-05-27,9163,9309.4,0.9842739596536834
1790,22,2011,2011-06-03,7913,8339.4,0.9488692232055065
1791,23,2011,2011-06-10,9254,9322,0.9927054280197383
1792,24,2011,2011-06-17,8961,8984.8,0.9973510818270859
1793,25,2011,2011-06-24,8715,8812.8,0.9889025054466232
1794,26,2011,2011-07-01,8710,8757.8,0.9945420082669164
